Metric,AlgorithmA,AlgorithmB,PValue
IGD,MODE,MOPSO,0.328571073561037
HV,MODE,MOPSO,0.198610209945546
Spacing,MODE,MOPSO,0.171376388775022
IGD,MODE,MOEAD,1.92092110490315e-06
HV,MODE,MOEAD,0.942610512457651
Spacing,MODE,MOEAD,0.0897178377675089
IGD,MOPSO,MOEAD,1.73439762832058e-06
HV,MOPSO,MOEAD,0.382034163022457
Spacing,MOPSO,MOEAD,0.00411403077932271
