Algorithm,MeanTotalTime_min,StdTotalTime_min,MeanAnsysTime_min,StdAnsysTime_min,MeanNewAnsysCalls,StdNewAnsysCalls,MeanReusedDatabasePoints,MeanTotalRequestedPoints,MeanTrainingPointsInitial,MeanNewTrainingPoints,StdNewTrainingPoints,MeanTrainingPointsFinal,StdTrainingPointsFinal,UpdateRate_percent,ReuseRate_percent
MODE,NaN,NaN,9.52282320983334,3.951892873368,10.6666666666667,4.72946255846835,795.833333333333,806.5,15,75.8,7.30328220969742,90.8,7.30328220969742,9.39863608183509,98.677412688572
MOPSO,NaN,NaN,13.3997404027778,5.1990258863143,15.5,6.47408627556417,888.7,904.2,15,81.6,10.2842363470206,96.6,10.2842363470206,9.02455209024552,98.2857774828578
MOEAD,NaN,NaN,8.60510563316667,3.19858197986017,9.56666666666667,4.09106118375116,740.633333333333,750.2,15,72.4,1.52224879021477,87.4,1.52224879021477,9.65075979738736,98.7247845019106
