Algorithm,MeanIGD,StdIGD,MeanHV,StdHV,MeanSpacing,StdSpacing
MODE,0.0292577165776917,0.00483204326879877,0.455732011328609,0.0152730866594755,0.427022578749588,0.0776064820155288
MOPSO,0.0305614943483591,0.00541076482875463,0.451038053353295,0.0141379247643951,0.46554968910867,0.0907140183732749
MOEAD,0.0605943442914812,0.0148003159834069,0.453626505625191,0.0130659286011455,0.392199547172896,0.0707101157307835
