# 
# This file contains the parameter values of the Design Points successfully updated by ANSYS Workbench.
# Project name: Example
# Creation date: 05/30/2018 19:54:55
# 
# 05/30/2018 19:54:55
# The parameters defined in the project are:
# ,P1 - H1 [mm],P2 - Y [mm],P3 - X [mm],P4 - R1 [mm],P5 - Volume [mm^3],P6 - Mass [kg],P7 - Mesh Metric STD,P8 - Mesh Metric AVG,P9 - Mesh Metric MAX,P10 - Mesh Metric MIN,P11 - Mesh Nodes,P12 - Mesh Elements,P13 - Equivalent Stress Average [MPa],P14 - Equivalent Stress Maximum [MPa],P15 - Equivalent Stress Minimum [MPa],P16 - Total Deformation Average [mm],P17 - Total Deformation Maximum [mm],P18 - Total Deformation Minimum [mm]
# 
DP 0,1,12394.159385936391,0.034331821499043805,0.018653016911995241,0.90310895922051138,0.98479245852735942,0.56988773994867914,97224,18891,17.327144929492487,130.18653382319533,0.00040229451308875132,0.11179800242281691,0.25190088656433657,0,20.000000000000004,74.999999999999986,12,2
DP 0,1,12237.091211282655,0.033896742655252957,0.019370516194122462,0.902435632718869,0.96153807985966611,0.648994407744901,95625,18558,18.616563612621274,129.95659671265378,0.00014057883102098302,0.11853697509258639,0.27343267759100326,0,17,76,13,2
# 
# A non parametric change occurred and invalidated design point results.
# 05/23/2026 11:45:24
# 
# 
# 05/23/2026 11:49:56
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P23 - Body Sizing Element Size [mm],P5 - Volume [mm^3],P6 - Mass [kg],P7 - Mesh Metric STD,P8 - Mesh Metric AVG,P9 - Mesh Metric MAX,P10 - Mesh Metric MIN,P11 - Mesh Nodes,P12 - Mesh Elements,P13 - Equivalent Stress Average [MPa],P14 - Equivalent Stress Maximum [MPa],P15 - Equivalent Stress Minimum [MPa],P16 - Total Deformation Average [mm],P17 - Total Deformation Maximum [mm],P18 - Total Deformation Minimum [mm],P22 - Y [mm],P21 - X [mm],P20 - R1 [mm],P19 - H1 [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P23,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P22,P21,P20,P19
DP 1,1,30985.398464840982,0.085829553747609533,0.019753440105154309,0.97413536346462559,0.98974016584155677,0.691353567863456,173811,37506,2.9344657412153561,38.387165117472449,3.0961695741222727E-06,0.019820658729177303,0.034057456579981084,0,20,115,12,5
# 
# A non parametric change occurred and invalidated design point results.
# 05/23/2026 17:14:44
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/23/2026 18:40:21
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/23/2026 18:55:14
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/23/2026 19:05:54
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/23/2026 19:09:29
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/23/2026 19:13:54
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/23/2026 19:28:56
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/23/2026 19:40:54
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/24/2026 18:46:05
# 
# 
# 05/24/2026 19:35:10
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P5 - Geometry Volume [m^3],P13 - Equivalent Stress Minimum [Pa],P12 - Mesh Standard Deviation,P11 - Mesh Average,P10 - Mesh Max,P9 - Mesh Min,P8 - Mesh Elements,P7 - Mesh Nodes,P6 - Geometry Mass [kg],P18 - Total Deformation Average [m],P17 - Total Deformation Maximum [m],P16 - Total Deformation Minimum [m],P15 - Equivalent Stress Average [Pa],P14 - Equivalent Stress Maximum [Pa],P1 - H1 [mm],P2 - R1 [mm],P3 - X [mm],P4 - Y [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P5,P13,P12,P11,P10,P9,P8,P7,P6,P18,P17,P16,P15,P14,P1,P2,P3,P4
DP 1,1.9005929309178447E-05,220.02902121397688,0.087289717282203014,0.58484917279461068,0.75406049844575351,0.1470315796317759,117,1003,0.1491965450770508,1.1669958244504781E-05,2.5740148462915184E-05,0,7371784.6794548277,47322847.343621351,3,9.9999999999999982,100,25
# 
# A non parametric change occurred and invalidated design point results.
# 05/24/2026 19:37:21
# 
# 
# 05/24/2026 19:49:29
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P5 - Geometry Volume [m^3],P13 - Equivalent Stress Minimum [Pa],P12 - Mesh Standard Deviation,P11 - Mesh Average,P10 - Mesh Max,P9 - Mesh Min,P8 - Mesh Elements,P7 - Mesh Nodes,P6 - Geometry Mass [kg],P18 - Total Deformation Average [m],P17 - Total Deformation Maximum [m],P16 - Total Deformation Minimum [m],P15 - Equivalent Stress Average [Pa],P14 - Equivalent Stress Maximum [Pa],P1 - H1 [mm],P2 - R1 [mm],P3 - X [mm],P4 - Y [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P5,P13,P12,P11,P10,P9,P8,P7,P6,P18,P17,P16,P15,P14,P1,P2,P3,P4
DP 0,1.2237091211282655E-05,10386.01585071197,0.055927920460595436,0.4487619403520593,0.52974041986354747,0.20467917342699368,127,1073,0.096061166008568843,3.9561246825230891E-05,9.6361523117217073E-05,0,22520383.09387644,115307106.41512546,2,13,76,17
# 
# A non parametric change occurred and invalidated design point results.
# 05/24/2026 19:58:41
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/24/2026 20:17:16
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/24/2026 21:03:17
# 
# 
# A non parametric change occurred and invalidated design point results.
# 05/24/2026 21:12:00
# 
# 
# 05/24/2026 21:40:06
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P5 - Geometry Volume [m^3],P13 - Equivalent Stress Minimum [Pa],P12 - Mesh Standard Deviation,P11 - Mesh Average,P10 - Mesh Max,P9 - Mesh Min,P8 - Mesh Elements,P7 - Mesh Nodes,P6 - Geometry Mass [kg],P18 - Total Deformation Average [m],P17 - Total Deformation Maximum [m],P16 - Total Deformation Minimum [m],P15 - Equivalent Stress Average [Pa],P14 - Equivalent Stress Maximum [Pa],P1 - H1 [mm],P2 - R1 [mm],P3 - X [mm],P4 - Y [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
